ID,TUBODNA,FID,IID
1059,N - 306,256,56125
4888,N - 318,257,56126
2879,N - 330,258,56127
2892,N - 341,259,56128
4583,N - 352,260,56129
4723,N - 364,261,56130
4885,N - 376,262,56131
2699,N - 295,263,56132
2762,N - 307,264,56133
2697,N - 319,265,56134
2829,N - 331,266,56135
1016,N - 342,267,56136
1165,N - 353,268,56137
6307,N - 365,269,56138
1215,N - 377,270,56139
6231,N - 296,271,56140
6245,N - 308,272,56141
4837,N - 320,273,56142
2701,N - 332,274,56143
1054,N - 343,275,56144
4598,N - 354,276,56145
4715,N - 366,277,56146
4772,N - 378,278,56147
1093,N - 309,279,56149
2831,N - 321,280,56150
2754,N - 333,281,56151
986,N - 344,282,56152
4866,N - 355,283,56153
4714,N - 367,284,56154
4815,N - 297,285,56155
1292,N - 379,286,56156
4915,N - 391,287,56157
4724,N - 403,288,56158
4962,N - 415,289,56159
1350,N - 441,291,56161
1429,N - 453,292,56162
6611,N - 465,293,56163
4854,N - 380,294,56164
6361,N - 392,295,56165
1304,N - 404,296,56166
6450,N - 416,297,56167
6182,N - 429,298,56168
1352,N - 442,299,56169
6585,N - 454,300,56170
5015,N - 466,301,56171
2749,N - 381,302,56172
1190,N - 393,303,56173
2963,N - 405,304,56174
4193,N - 418,305,56175
1095,N - 430,306,56176
3050,N - 443,307,56177
837,N - 455,308,56178
6523,N - 467,309,56179
2888,N - 382,310,56180
6354,N - 394,311,56181
4950,N - 406,312,56182
1245,N - 419,313,56183
6274,N - 431,314,56184
1403,N - 444,315,56185
5071,N - 456,316,56186
6628,N - 468,317,56187
2871,N - 383,318,56188
6350,N - 395,319,56189
6412,N - 407,320,56190
6323,N - 432,322,56192
3046,N - 445,323,56193
5069,N - 457,324,56194
5484,N - 469,325,56195
1217,N - 384,326,56196
2820,N - 396,327,56197
2835,N - 408,328,56198
6464,N - 421,329,56199
6459,N - 433,330,56200
6547,N - 446,331,56201
3057,N - 458,332,56202
1468,N - 470,333,56203
2796,N - 385,334,56204
1293,N - 397,335,56205
2968,N - 409,336,56206
6462,N - 422,337,56207
1366,N - 434,338,56208
6524,N - 447,339,56209
6600,N - 459,340,56210
2841,N - 471,341,56211
1246,N - 386,342,56212
4923,N - 398,343,56213
6405,N - 410,344,56214
6461,N - 423,345,56215
1365,N - 435,346,56216
1425,N - 448,347,56217
1450,N - 460,348,56218
1489,N - 472,349,56219
1073,N - 387,350,56220
6339,N - 399,351,56221
1313,N - 411,352,56222
1336,N - 424,353,56223
5040,N - 436,354,56224
3022,N - 449,355,56225
6670,N - 461,356,56226
1471,N - 473,357,56227
2900,N - 388,358,56228
2822,N - 400,359,56229
2920,N - 412,360,56230
2982,N - 425,361,56231
1385,N - 437,362,56232
3032,N - 450,363,56233
1459,N - 462,364,56234
3098,N - 474,365,56235
1131,N - 389,366,56236
6270,N - 401,367,56237
4591,N - 413,368,56238
2988,N - 426,369,56239
1384,N - 438,370,56240
1440,N - 451,371,56241
6582,N - 463,372,56242
5017,N - 475,373,56243
2823,N - 402,374,56245
6352,N - 414,375,56246
1321,N - 427,376,56247
6531,N - 440,377,56248
3048,N - 452,378,56249
3198,N - 464,379,56250
2761,N - 390,380,56251
3132,N - 476,381,56252
3183,N - 490,382,56253
4805,N- 503,383,56254
6767,N - 515,384,56255
3111,N - 527,385,56256
1672,N - 539,386,56257
6801,N - 553,387,56258
3364,N - 564,388,56259
1328,N - 477,389,56260
1549,N - 492,390,56261
6697,N - 504,391,56262
4855,N - 516,392,56263
6749,N - 528,393,56264
1580,N - 540,394,56265
6820,N - 554,395,56266
1758,N - 565,396,56267
1478,N - 478,397,56268
6735,N - 493,398,56269
1556,N - 505,399,56270
1566,N - 517,400,56271
3265,N - 529,401,56272
3266,N - 541,402,56273
1730,N - 555,403,56274
3334,N - 566,404,56275
6690,N - 479,405,56276
1234,N - 494,406,56277
6722,N - 506,407,56278
6536,N - 518,408,56279
3210,N - 530,409,56280
6745,N - 542,410,56281
6833,N - 567,412,56283
6711,N - 480,413,56284
4034,N - 495,414,56285
3238,N - 507,415,56286
1454,N - 519,416,56287
1590,N - 531,417,56288
3284,N - 543,418,56289
3318,N - 556,419,56290
3329,N - 568,420,56291
1520,N - 481,421,56292
6733,N - 496,422,56293
1569,N - 508,423,56294
3201,N - 520,424,56295
1611,N - 532,425,56296
1610,N - 544,426,56297
3401,N - 557,427,56298
3331,N - 569,428,56299
6716,N - 482,429,56300
1128,N - 497,430,56301
1545,N - 509,431,56302
6744,N - 521,432,56303
1651,N - 533,433,56304
6800,M - 545,434,56305
3317,N - 558,435,56306
3140,N - 483,437,56308
1506,N - 498,438,56309
10074,N - 510,439,56310
1592,N - 522,440,56311
1680,N - 534,441,56312
6799,N - 546,442,56313
6830,N - 559,443,56314
1042,N - 570,444,56315
6660,N - 484,445,56316
1320,N - 499,446,56317
1563,N - 511,447,56318
4796,N - 523,448,56319
1643,N - 535,449,56320
6813,N - 547,450,56321
6810,N - 560,451,56322
1788,N - 571,452,56323
3192,N - 485,453,56324
1550,N - 500,454,56325
1601,N - 512,455,56326
6443,N - 524,456,56327
6766,N - 536,457,56328
4590,N - 548,458,56329
6809,N - 561,459,56330
1750,N - 572,460,56331
1587,N - 486,461,56332
5060,N - 501,462,56333
4744,N - 513,463,56334
1607,N - 525,464,56335
1641,N - 537,465,56336
6781,N - 551,466,56337
6805,N - 562,467,56338
1710,N - 573,468,56339
6346,N - 502,469,56341
3215,N - 514,470,56342
6612,N - 526,471,56343
1657,N - 538,472,56344
1664,N - 552,473,56345
6857,N - 563,474,56346
6713,N - 488,475,56347
1777,N - 574,476,56348
1824,N - 587,477,56349
6853,N - 599,478,56350
1867,N - 611,479,56351
6898,N - 623,480,56352
3429,N - 635,481,56353
3438,N - 646,482,56354
6888,N - 657,483,56355
3380,N - 575,484,56356
1808,N - 588,485,56357
6858,N - 600,486,56358
1860,N - 612,487,56359
3408,N - 624,488,56360
1901,N - 636,489,56361
6863,N - 647,490,56362
1955,N - 658,491,56363
6836,N - 577,492,56364
1817,N - 589,493,56365
6867,N - 601,494,56366
1857,N - 613,495,56367
7013,N - 625,496,56368
3426,N - 637,497,56369
6873,N - 648,498,56370
1960,N - 659,499,56371
1059,N - 578,500,56372
1849,N - 590,501,56373
1801,N - 602,502,56374
6909,N - 614,503,56375
3422,N - 626,504,56376
1938,N - 638,505,56377
7016,N - 649,506,56378
1962,N - 660,507,56379
1793,N - 579,508,56380
1783,N - 591,509,56381
1807,N - 603,510,56382
1871,N - 615,511,56383
7818,N - 627,512,56384
3414,N - 639,513,56385
1957,N - 650,514,56386
1873,N - 661,515,56387
6864,N - 580,516,56388
3371,N - 592,517,56389
3359,N - 604,518,56390
3469,N - 616,519,56391
1899,N - 628,520,56392
3459,N - 640,521,56393
7038,N - 651,522,56394
1963,N - 662,523,56395
6839,N - 581,524,56396
3322,N - 593,525,56397
6878,N - 605,526,56398
4588,N - 617,527,56399
7014,N - 629,528,56400
7092,N - 652,530,56402
7071,N - 663,531,56403
6845,N - 582,532,56404
1771,N - 594,533,56405
6876,N - 606,534,56406
1874,N - 618,535,56407
3468,N - 630,536,56408
7033,N - 641,537,56409
1958,N - 653,538,56410
3454,N - 664,539,56411
1803,N - 583,540,56412
6811,N - 595,541,56413
6884,N - 607,542,56414
1858,N - 619,543,56415
6808,N - 631,544,56416
3436,N - 642,545,56417
1969,N - 654,546,56418
1975,N - 665,547,56419
1806,N - 584,548,56420
6827,N - 596,549,56421
7002,N - 608,550,56422
1885,N - 620,551,56423
7024,N - 632,552,56424
7011,N - 643,553,56425
3400,N - 655,554,56426
7045,N - 666,555,56427
6879,N - 585,556,56428
1836,N - 597,557,56429
3402,N - 609,558,56430
6907,N - 621,559,56431
6883,N - 633,560,56432
7021,N - 644,561,56433
6835,N - 656,562,56434
7102,N - 667,563,56435
6851,N - 598,564,56437
1855,N - 610,565,56438
1886,N - 622,566,56439
3427,N - 634,567,56440
3437,N - 645,568,56441
1839,N - 586,570,56443
7026,N - 668,571,56444
1989,N - 680,572,56445
1999,N - 692,573,56446
3516,N - 704,574,56447
10054,N - 715,575,56448
7126,N - 727,576,56449
7157,N - 739,577,56450
3458,N - 750,578,56451
3463,N - 669,579,56452
3499,N - 681,580,56453
10035,N - 693,581,56454
3498,N - 705,582,56455
7112,N - 716,583,56456
1776,N - 728,584,56457
10101,N - 751,586,56459
1978,N - 670,587,56460
7068,N - 682,588,56461
7110,N - 694,589,56462
7142,N - 706,590,56463
10107,N - 717,591,56464
6841,N - 729,592,56465
10085,N - 740,593,56466
7089,N - 752,594,56467
1977,N - 671,595,56468
10016,N - 683,596,56469
1995,N - 695,597,56470
3512,N - 707,598,56471
